avg,slg,obp,ab,r,h,hbp,h2b,h3b,hr,rbi,bb,so,pk,team_name,date,ops
.238,0.312,0.315,36,8,12,1,1,0,0,6,0,4,0,NAV,2024-11-05,0.627
.234,0.315,0.332,39,15,16,1,4,0,2,15,1,2,0,OBR,2024-11-05,0.647
.229,0.337,0.3,0,0,0,0,0,0,0,0,0,0,0,MXC,2024-11-03,0.637
.223,0.293,0.319,0,0,0,0,0,0,0,0,0,0,0,OBR,2024-11-03,0.612
.228,0.334,0.299,30,2,5,0,1,0,0,2,0,6,0,MXC,2024-11-01,0.633
.226,0.299,0.322,28,0,3,0,0,0,0,0,0,9,0,OBR,2024-11-01,0.621
.229,0.337,0.3,35,4,9,0,2,1,0,4,1,8,0,MXC,2024-11-02,0.637
.223,0.293,0.319,29,3,5,0,0,0,0,3,1,11,0,OBR,2024-11-02,0.612
.237,0.313,0.303,30,1,4,0,1,0,0,1,0,5,0,MAZ,2024-10-26,0.616
.242,0.323,0.347,28,4,9,1,4,0,0,3,0,4,0,OBR,2024-10-26,0.6699999999999999
.237,0.31,0.311,33,0,7,0,1,1,0,0,0,6,0,NAV,2024-11-07,0.621
.233,0.31,0.329,38,10,12,1,1,0,0,9,0,6,0,OBR,2024-11-07,0.639
.238,0.31,0.315,32,1,8,2,1,0,0,1,0,2,0,NAV,2024-11-06,0.625
.228,0.309,0.324,30,0,3,0,2,0,0,0,0,8,0,OBR,2024-11-06,0.633
.240,0.312,0.309,33,4,9,0,1,0,0,4,0,5,0,MAZ,2024-10-27,0.621
.244,0.333,0.35,30,6,8,1,3,0,1,6,0,5,0,OBR,2024-10-27,0.683
.238,0.302,0.314,31,0,4,0,1,0,0,0,0,9,0,HER,2024-10-12,0.616
.231,0.292,0.315,33,3,10,0,4,0,0,3,0,4,0,OBR,2024-10-12,0.607
.245,0.325,0.313,36,4,10,0,2,0,1,4,0,9,0,MAZ,2024-10-25,0.638
.237,0.313,0.342,31,2,8,1,0,0,0,2,0,5,0,OBR,2024-10-25,0.655
.213,0.293,0.302,30,3,6,1,1,0,0,3,0,10,0,MTY,2024-10-18,0.595
.200,0.259,0.315,31,1,6,1,0,0,0,0,0,3,1,OBR,2024-10-18,0.5740000000000001
.199,0.282,0.279,32,3,4,1,3,0,0,3,0,5,0,MTY,2024-10-19,0.5609999999999999
.195,0.25,0.313,35,2,6,3,1,0,0,2,0,7,0,OBR,2024-10-19,0.563
.214,0.3,0.289,37,4,11,0,2,1,0,3,0,7,0,MTY,2024-10-20,0.589
.198,0.286,0.315,28,5,6,1,1,0,3,5,0,7,1,OBR,2024-10-20,0.601
