season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2023,673.0,Aguilas de Mexicali,675455,Milan Tolentino,10,DH,33,14.0,4.0,0.0,0,0.476,4.0,0.0,0.0,2.0,126,3.818,15.2,21.2,0.0,0.714,0.143,0.0,0.0,3,51,8,21,0,3,5,0,0,6,4,MXC,0,7,5,28,10,0.0,6.3,15.7,14.3,42.9,42.9,0.0,0.06,0.446
2023,673.0,Aguilas de Mexicali,650995,Norberto Obeso,7,LF,199,64.0,55.0,2.0,1,0.394,10.0,0.0,3.0,16.0,786,3.95,18.1,12.1,0.0,1.5,0.063,2.0,1.0,17,305,45,139,4,9,55,7,1,27,19,MXC,0,24,36,160,54,0.0,5.7,14.8,17.3,53.2,25.9,3.6,-0.06,0.405
2023,673.0,Aguilas de Mexicali,433636,Hector Hernandez,X,X,4,1.0,2.0,0.0,0,0.333,0.0,0.0,0.0,1.0,14,3.5,25.0,0.0,0.0,,0.0,0.0,0.0,0,5,0,3,1,0,1,1,0,0,0,MXC,0,0,1,3,1,0.0,0.0,0.0,33.3,33.3,0.0,33.3,-0.25,0.418
2023,673.0,Aguilas de Mexicali,606143,Alejandro Mejia,3,1B,25,8.0,18.0,0.0,0,0.4,0.0,0.0,0.0,5.0,90,3.6,4.0,16.0,0.0,0.25,0.0,0.0,0.0,3,45,15,20,3,0,6,1,0,2,5,MXC,0,4,1,24,8,0.0,16.7,33.3,20.0,55.0,10.0,15.0,0.12,0.331
2023,673.0,Aguilas de Mexicali,642299,Alejandro Flores,9,RF,194,68.0,70.0,2.0,0,0.4,13.0,1.0,3.0,31.0,839,4.325,14.4,21.1,0.01,0.683,0.11,3.0,0.0,24,375,82,124,17,3,30,7,1,27,15,MXC,2,41,28,163,50,6.5,9.8,21.9,25.0,36.3,24.2,14.5,0.067,0.384
2023,673.0,Aguilas de Mexicali,573627,Kennys Vargas,10,DH,286,115.0,113.0,0.0,4,0.351,24.0,7.0,7.0,38.0,1167,4.08,11.2,22.0,0.035,0.508,0.181,3.0,1.0,25,545,146,184,13,9,66,12,0,40,19,MXC,10,63,32,243,71,27.0,12.5,26.8,20.1,46.2,26.6,7.1,0.108,0.39
2023,673.0,Aguilas de Mexicali,500208,Yangervis Solarte,5,3B,223,84.0,108.0,2.0,1,0.274,14.0,0.0,6.0,38.0,854,3.83,10.3,9.9,0.036,1.045,0.152,1.0,0.0,31,410,53,178,21,14,58,9,1,28,16,MXC,8,22,23,197,54,20.0,6.2,12.9,22.5,41.6,23.6,12.4,-0.0039999999999999,0.362
2023,673.0,Aguilas de Mexicali,672953,Gilberto Vizcarra,2,C,24,5.0,6.0,2.0,0,0.357,0.0,0.0,1.0,2.0,94,3.917,12.5,20.8,0.0,0.6,0.0,0.0,0.0,3,48,6,16,1,1,6,0,0,2,3,MXC,0,5,3,19,5,0.0,6.4,12.5,18.8,56.2,18.8,6.2,0.0829999999999999,0.288
2023,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,3,1B,280,87.0,111.0,1.0,2,0.298,14.0,1.0,2.0,49.0,1041,3.718,8.2,16.4,0.014,0.5,0.087,3.0,0.0,54,498,113,210,26,11,54,9,4,34,18,MXC,4,46,23,253,65,6.3,10.9,22.7,30.0,34.3,21.4,14.3,0.082,0.312
2023,673.0,Aguilas de Mexicali,665745,Javier Salazar,6,SS,237,87.0,83.0,7.0,2,0.306,21.0,0.0,5.0,30.0,921,3.886,6.8,21.5,0.025,0.314,0.156,1.0,1.0,30,415,91,170,9,11,66,10,1,29,14,MXC,6,51,16,212,54,15.0,9.9,21.9,23.5,47.1,23.5,5.9,0.147,0.323
