season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,2B,3B,IBB,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA_x,wOBA_y,wOBA
2024,673.0,Aguilas de Mexicali,595943,Phillip Evans,5,3B,17,12.0,9.0,0.0,0,0.462,3.0,0.0,0.0,1.0,54,3.176,11.8,5.9,0.059,2.0,0.333,0.0,0.0,1,29,6,14,1,0,5,1,0,5,1,MXC,1,1,2,15,7,2.0,0.0,0.0,50.0,11.1,20.7,14.3,42.9,35.7,7.1,-0.059,0.606,0.606,0.606
2024,673.0,Aguilas de Mexicali,655212,Manuel Orduno,7,LF,3,1.0,3.0,0.0,0,0.5,0.0,0.0,0.0,0.0,9,3.0,0.0,33.3,0.0,,0.0,0.0,0.0,0,4,2,2,0,0,1,1,0,0,0,MXC,0,1,0,3,1,0.0,0.0,0.0,0.0,22.2,50.0,50.0,50.0,0.0,0.0,0.333,0.317,0.317,0.317
2024,673.0,Aguilas de Mexicali,650995,Norberto Obeso,7,LF,117,33.0,44.0,3.0,1,0.333,4.0,2.0,1.0,16.0,468,4.0,10.3,11.1,0.0,0.923,0.04,2.0,0.0,17,202,31,90,0,4,40,2,0,19,8,MXC,0,13,12,99,29,4.0,0.0,0.0,0.0,6.6,15.3,21.1,53.3,25.6,0.0,0.008,0.338,0.338,0.338
2024,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,3,1B,117,31.0,42.0,0.0,1,0.318,4.0,3.0,3.0,16.0,442,3.778,8.5,16.2,0.0,0.526,0.039,2.0,0.0,21,221,53,85,10,8,19,4,0,8,15,MXC,0,19,10,103,27,4.0,0.0,0.0,0.0,12.0,24.0,29.4,40.0,18.8,11.8,0.077,0.316,0.316,0.316
2024,673.0,Aguilas de Mexicali,511428,Leo Heras,X,X,58,27.0,17.0,1.0,0,0.324,6.0,0.0,0.0,7.0,247,4.259,5.2,29.3,0.052,0.176,0.241,1.0,0.0,8,108,36,38,6,1,9,5,0,3,6,MXC,3,17,3,54,14,2.0,1.0,0.0,23.1,14.6,33.3,34.2,39.5,10.5,15.8,0.241,0.365,0.365,0.365
2024,673.0,Aguilas de Mexicali,676021,Luis Santos,X,X,34,11.0,15.0,0.0,0,0.35,2.0,1.0,0.0,2.0,147,4.324,11.8,26.5,0.0,0.444,0.138,0.0,0.0,3,69,16,20,3,2,5,1,0,6,0,MXC,0,9,4,29,7,0.0,2.0,0.0,0.0,10.9,23.2,20.0,25.0,40.0,15.0,0.147,0.351,0.351,0.351
2024,673.0,Aguilas de Mexicali,680716,Jonathan Ornelas,5,3B,37,10.0,19.0,0.0,0,0.381,2.0,1.0,1.0,3.0,151,4.081,5.4,35.1,0.0,0.154,0.059,0.0,0.0,3,66,24,21,1,0,9,1,0,6,1,MXC,0,13,2,34,8,2.0,0.0,0.0,0.0,15.9,36.4,19.0,47.6,28.6,4.8,0.297,0.289,0.289,0.289
2024,673.0,Aguilas de Mexicali,592144,Wynton Bernard,8,CF,126,43.0,49.0,0.0,1,0.25,9.0,1.0,1.0,20.0,496,3.937,9.5,14.3,0.024,0.667,0.152,3.0,0.0,17,200,39,95,14,4,34,3,0,15,8,MXC,3,18,12,112,26,4.0,2.0,0.0,15.0,7.9,19.5,21.1,44.2,20.0,14.7,0.0479999999999999,0.33,0.33,0.33
2024,673.0,Aguilas de Mexicali,605011,Moises Gutierrez,5,3B,103,38.0,44.0,0.0,1,0.25,9.0,2.0,0.0,15.0,410,3.981,5.8,22.3,0.039,0.261,0.181,1.0,0.0,16,220,67,72,8,1,26,6,0,10,5,MXC,4,23,6,94,21,5.0,0.0,0.0,18.2,16.3,30.5,30.6,43.1,15.3,11.1,0.165,0.324,0.324,0.324
2024,673.0,Aguilas de Mexicali,668843,Conner Capel,9,RF,120,29.0,37.0,0.0,1,0.28,6.0,0.0,4.0,17.0,488,4.067,18.3,19.2,0.0,0.957,0.082,0.0,0.0,10,200,55,75,16,5,23,1,0,9,11,MXC,0,23,22,97,21,4.0,2.0,1.0,0.0,11.3,27.5,14.7,45.3,18.7,21.3,0.009,0.322,0.322,0.322
