season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B,pRunMult,pRunMinDen,pRunPlusDen,wOBA
2024,673.0,Aguilas de Mexicali,595943,Phillip Evans,3B,6,8,2,2,0,1,2,2,0,7,0,0.304,23,0.36,0.522,0.882,2,0,0.0,0,82,25,12,3,15,0,0,0.3,1.33,23.0,MXC,4,5.252317193135862,16,9,0.412
2024,673.0,Aguilas de Mexicali,650995,Norberto Obeso,LF,29,42,14,4,0,0,13,12,0,31,2,0.298,104,0.378,0.337,0.715,0,0,,1,482,122,35,10,45,3,1,0.337,1.91,,MXC,27,19.118034211389222,74,45,0.34
2024,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,1B,33,22,8,4,0,0,20,13,0,27,4,0.252,107,0.352,0.29,0.642,2,3,60.0,4,477,125,31,13,45,0,1,0.307,0.56,,MXC,23,18.25774456224724,81,44,0.319
2024,673.0,Aguilas de Mexicali,655212,Manuel Orduno,LF,7,1,1,0,0,0,2,0,0,1,0,0.25,4,0.25,0.25,0.5,0,0,,0,14,4,1,0,3,0,0,0.5,1.0,,MXC,1,0.44528964914198277,3,1,0.238
2024,673.0,Aguilas de Mexicali,511428,Leo Heras,X,22,10,8,2,1,3,18,7,2,14,0,0.246,57,0.328,0.474,0.802,1,6,85.7,0,275,65,27,7,19,1,0,0.306,0.63,19.0,MXC,8,11.719634386271725,43,19,0.349
2024,673.0,Aguilas de Mexicali,592144,Wynton Bernard,CF,30,34,16,4,2,3,19,12,0,28,1,0.241,116,0.315,0.388,0.703,1,9,90.0,1,514,130,45,17,50,0,1,0.263,0.94,38.67,MXC,19,21.471006667395343,89,41,0.335
2024,673.0,Aguilas de Mexicali,605011,Moises Gutierrez,3B,30,28,8,5,0,4,25,6,0,24,2,0.235,102,0.288,0.402,0.69,0,0,,0,444,111,41,15,46,0,1,0.27,1.08,25.5,MXC,15,18.378110175975515,79,32,0.326
2024,673.0,Aguilas de Mexicali,676021,Luis Santos,X,20,6,6,0,2,0,10,5,0,7,1,0.219,32,0.342,0.344,0.686,0,1,100.0,0,162,38,11,1,17,0,0,0.318,0.67,,MXC,5,6.023765438845776,25,13,0.334
2024,673.0,Aguilas de Mexicali,680716,Jonathan Ornelas,3B,12,10,2,2,0,0,13,3,0,8,1,0.216,37,0.293,0.27,0.563,0,1,100.0,1,172,41,10,1,23,0,0,0.333,1.67,,MXC,6,5.348475789703793,29,12,0.278
2024,673.0,Aguilas de Mexicali,668843,Conner Capel,RF,31,23,10,4,2,0,24,22,1,21,0,0.212,99,0.352,0.293,0.645,2,1,33.3,4,498,122,29,13,39,0,1,0.276,0.72,,MXC,15,17.787165263963274,79,42,0.317
