id,fullName,birthDate,currentAge,height,weight,POS,Birthplace,B/T
701195,Manuel Castro,11-05-2002,22,"5' 8""",180.0,P,"Guasave, Mexico",R/R
585133,Arturo Rodriguez,03-10-1991,33,"6' 0""",235.0,C,"Monterrey, Mexico",R/R
672906,Lazaro Alonso,17-12-1994,29,"6' 3""",220.0,1B,"Pinar Del Rio, Cuba",L/R
666502,Marcelo Martinez,10-08-1996,28,"6' 2""",190.0,P,"Reynosa, Mexico",L/L
518530,Xorge Carrillo,12-04-1989,35,"6' 1""",235.0,C,"Tijuana, Mexico",R/R
667910,Juan Macias,13-01-1996,28,"6' 0""",220.0,P,"Obregon, Mexico",R/R
676190,Carlos Morales,05-01-1997,27,"6' 1""",200.0,P,"Saltillo, Mexico",R/R
664125,Brandon Koch,25-12-1993,30,"6' 1""",205.0,P,"Dallas, USA",R/R
554428,Alejandro Ortiz,06-02-1990,34,"5' 11""",170.0,OF,"San Blas, Mexico",S/R
547862,David Reyes,12-04-1990,34,"6' 0""",190.0,P,"Los Mochis, Mexico",R/R
572025,Miguel Pena,24-10-1990,33,"6' 2""",175.0,P,"Mission, USA",L/L
675546,Jesus Huerta,28-09-1994,30,"6' 0""",181.0,P,"Hermosillo, Mexico",R/R
623985,Manuel Chavez,22-11-1993,30,"6' 3""",175.0,P,"Mexicali, Mexico",L/L
645799,Isaac Jimenez,12-12-1995,28,"5' 11""",175.0,P,"Oaxaca, Mexico",R/R
692262,Roque Gutierrez,07-09-2002,22,"5' 9""",177.0,P,"Guasave, Mexico",R/R
592312,Jorge Flores,25-11-1991,32,"5' 5""",160.0,SS,"Ensenada, Mexico",R/R
685694,Keven Lamas,08-11-1998,25,"6' 0""",180.0,IF,"Rosamarada, Mexico",R/R
631229,Daniel Rodriguez,20-08-1996,28,"6' 1""",180.0,P,"Mexicali, Mexico",R/R
641754,Jeff Kinley,15-02-1992,32,"6' 1""",195.0,P,"Saginaw, USA",L/L
456493,Felipe Arredondo,04-10-1986,38,"6' 4""",225.0,P,"Culiacan, Mexico",R/R
518464,Seth Blair,03-03-1989,35,"6' 2""",185.0,P,"Rock Falls, USA",R/R
663524,Cornelius Randolph,02-06-1997,27,"5' 11""",205.0,OF,"Brunswick, USA",L/R
573612,Alejandro Barraza,25-10-1990,33,"6' 1""",205.0,P,"Guymas, Mexico",R/R
604596,Alex Delgado,01-11-1994,29,"6' 1""",187.0,P,"Mexicali, Mexico",L/L
676021,Luis Santos,04-01-2000,24,"5' 6""",160.0,2B,"Paso de la Boca, Mexico",R/R
511428,Leo Heras,29-05-1990,34,"5' 9""",190.0,OF,"Tijuana, Mexico",L/R
674481,Daniel Flores,06-02-1998,26,"6' 2""",227.0,P,"Monclova, Mexico",L/R
604996,Carlos Garzon,14-05-1992,32,"6' 0""",205.0,C,"Oaxaca, Mexico",R/R
653248,Amilcar Gomez,27-01-1995,29,"5' 8""",179.0,OF,"Guadalajara, Mexico",S/R
471906,Reynaldo Rodriguez,02-07-1986,38,"6' 0""",195.0,1B,"Cartagena, Colombia",R/R
622742,Rafael Cordova,16-11-1994,29,"6' 2""",175.0,P,"Yuma, USA",R/R
689161,Carlos Arellano,18-08-1998,26,"5' 10""",165.0,SS,"Calexico, USA",R/R
674504,Francisco Hernandez,31-08-1994,30,"5' 8""",176.0,OF,"San Felipe, Mexico",L/L
622747,Eduardo Vera,03-07-1994,30,"6' 2""",195.0,P,"Merida, Mexico",R/R
674706,Alan Lopez,03-01-1996,28,"5' 10""",177.0,1B,"Guasave, Mexico",L/R
670946,Matt Pobereyko,24-12-1991,31,"6' 3""",220.0,P,"Hammond, USA",R/R
628326,Erisbel Arruebarrena,25-03-1990,34,"6' 1""",230.0,SS,"Cienfuegos, Cuba",R/R
554333,Raul Navarro,05-02-1992,32,"5' 10""",170.0,SS,"Los Llanos, Dominican Republic",R/R
592889,Ernesto Zaragoza,26-09-1992,32,"6' 1""",175.0,P,"Anaheim, USA",R/R
669315,Orlando Pina,09-04-1998,26,"5' 11""",218.0,C,"Ciudad Obregon, Mexico",R/R
503429,Walter Ibarra,01-11-1987,36,"5' 11""",180.0,SS,"Los Mochis, Mexico",S/R
510548,Jose Heberto Felix,28-06-1988,36,"5' 10""",200.0,C,"Guasave, Mexico",R/R
622739,Ariel Gracia,17-09-1994,30,"5' 11""",173.0,P,"Ciudad Obregon, Mexico",L/L
671760,Mario Jimenez,06-12-1995,28,"5' 11""",198.0,P,"Oaxaca, Mexico",R/R
672953,Gilberto Vizcarra,01-03-1999,25,"5' 10""",180.0,C,"Mexicali, Mexico",R/R
477399,Jesse Castillo,03-03-1983,41,"6' 1""",205.0,3B,"Mexicali, Mexico",L/R
433636,Hector Hernandez,21-01-1983,41,"5' 8""",175.0,SS,"Cosamaloapan, Mexico",L/R
547809,Oscar Felix,08-12-1991,32,"5' 6""",195.0,P,"Navojoa, Mexico",L/L
672911,Jesus Cruz,15-04-1995,29,"6' 1""",230.0,P,"Salinas de Hidalgo, Mexico",R/R
572868,Anthony Giansanti,28-09-1988,36,"5' 10""",195.0,OF,"New London, USA",R/R
664039,Geno Encina,07-07-1994,30,"6' 4""",220.0,P,"San Antonio, USA",L/R
688548,Nico Tellache,14-01-1998,26,"6' 0""",205.0,P,"Canby, USA",L/L
572943,Jeff Ibarra,18-08-1987,37,"6' 6""",180.0,P,"Escondido, USA",L/L
660871,Miguel Aguilar,25-07-1995,29,"6' 0""",180.0,P,"Acaponeta, Mexico",R/R
662966,Bernardo Heras,03-11-1995,28,"6' 0""",180.0,C,"Tijuana, Mexico",S/R
545150,Ramon R Ramirez,13-09-1990,34,"5' 9""",165.0,OF,"Los Mochis, Mexico",R/R
591331,Alan Sanchez,22-03-1989,35,"6' 0""",185.0,OF,"Guasave, Mexico",L/R
650995,Norberto Obeso,09-07-1995,29,"6' 0""",175.0,OF,"Hermosillo, Mexico",L/R
673238,Alejandro Chavez,14-07-1999,25,"6' 2""",170.0,P,"Guasave, Mexico",R/R
701031,Jaime Beltran,26-04-2000,24,"6' 1""",201.0,P,"Tijuana, Mexico",R/R
585132,Raul Carrillo,20-11-1991,32,"6' 1""",185.0,P,"Guadalajara, Mexico",R/R
807585,Tasker Strobel,19-04-1995,29,"6' 4""",225.0,P,"avon, USA",L/L
608380,Drew Ward,25-11-1994,29,"6' 3""",231.0,1B,"Leedey, USA",L/R
587275,Alan Espinoza,30-01-1991,33,"5' 7""",165.0,C,"Ciudad Obregon, Mexico",R/R
664921,Ian Sagdal,06-01-1993,31,"6' 3""",190.0,1B,"Wenatchee, USA",L/R
477462,Esteban Haro,11-11-1985,38,"6' 0""",165.0,P,"Los Mochis, Mexico",R/R
703721,Ivan Izaguirre,16-09-2001,23,"5' 8""",192.0,P,"Guasave, Mexico",R/R
652669,Angel Erro,08-02-1995,29,"5' 11""",175.0,3B,"Navajoa, Mexico",R/R
703880,Jesus Martinez,01-10-2003,21,,187.0,P,"San Ignacio, Mexico",L/L
664215,Zach Nehrir,28-01-1993,31,"6' 2""",205.0,OF,"Orange, USA",R/R
634739,Miguel Guzman,23-08-1995,29,"5' 6""",175.0,3B,"Leon, Mexico",R/R
660850,Juan Robles,06-11-1997,26,"6' 0""",185.0,P,"Navojoa, Mexico",R/R
611319,Jesus Arredondo,20-02-1991,33,"6' 0""",180.0,SS,"Los Mochis, Mexico",L/R
653245,Kristian Delgado,19-07-1993,31,"5' 7""",173.0,3B,"Mexicali, Mexico",R/R
653001,Samar Leyva,20-09-1994,30,"6' 0""",163.0,2B,"Los Mochis, Mexico",R/R
674840,Jorge Sesma,31-08-1996,28,"5' 11""",167.0,OF,"Navajoa, Mexico",R/R
477644,Christian Zazueta,20-10-1984,39,"5' 11""",190.0,OF,"Bacobampo, Mexico",R/R
661313,Asael Sanchez,04-03-1994,30,"6' 0""",170.0,OF,"CuautItlan, Mexico",R/R
