team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
CUL,2024,588,5374,2381,214,74,964,306,116,48,131,72,3,34,19,236,1377,162,1169,324,17.1,11.8,0.0246913580246913,0.6864406779661016,10.9,24.7,29.9,43.8,18.6,7.8,0.0537400145243282,11.8,0.316,0.367
GSV,2024,532,5086,2212,159,55,871,299,79,56,121,99,3,20,10,248,1287,147,1094,258,19.3,11.4,0.0155400155400155,0.592741935483871,10.5,24.1,24.6,43.4,20.3,11.7,0.0784770784770784,9.3,0.285,0.322
HER,2024,453,4881,2151,206,47,911,326,84,40,122,84,2,19,3,223,1276,132,1110,255,17.5,10.3,0.0148902821316614,0.5919282511210763,9.3,21.1,27.8,45.0,17.8,9.4,0.0713166144200627,7.5,0.271,0.306
JAL,2024,562,5029,2406,171,92,935,296,114,46,97,118,1,32,13,251,1310,113,1162,304,19.2,8.6,0.0244274809160305,0.450199203187251,11.2,23.4,28.1,43.9,15.3,12.7,0.1053435114503816,12.2,0.305,0.343
MAZ,2024,522,4962,2291,171,54,935,334,130,42,111,93,0,10,18,248,1317,111,1146,295,18.8,8.4,0.0075930144267274,0.4475806451612903,10.5,22.8,24.1,49.6,16.4,9.9,0.1040242976461655,4.4,0.315,0.316
MOC,2024,591,5232,2377,190,46,938,337,114,60,122,68,1,25,13,259,1359,136,1169,283,19.1,10.0,0.0183958793230316,0.525096525096525,11.3,24.9,25.2,48.1,19.4,7.4,0.0905077262693156,10.6,0.287,0.322
MTY,2024,540,5008,2321,170,31,862,314,102,49,114,82,0,11,11,271,1270,118,1106,247,21.3,9.3,0.0086614173228346,0.4354243542435424,10.8,23.3,23.3,48.3,18.9,9.5,0.1204724409448819,5.5,0.283,0.293
MXC,2024,593,4856,2235,171,37,844,283,79,45,122,105,2,15,11,263,1247,121,1088,240,21.1,9.7,0.012028869286287,0.4600760456273764,12.2,26.5,24.6,42.9,19.8,12.7,0.1138732959101844,7.2,0.274,0.298
NAV,2024,629,4952,2330,176,40,888,309,116,44,109,92,2,20,9,275,1311,122,1131,267,21.0,9.3,0.015255530129672,0.4436363636363636,12.7,27.0,24.3,47.9,17.2,10.6,0.1167048054919908,9.3,0.292,0.309
OBR,2024,458,4915,2164,196,43,897,322,91,50,113,80,2,18,13,209,1259,124,1075,249,16.6,9.8,0.0142970611596505,0.5933014354066986,9.3,21.2,26.6,46.0,18.2,9.1,0.0675138999205718,7.5,0.268,0.31
