team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
CUL,2024,356,1226,1041,288,150,38,56,2,31,441,14,16,166,213,145,8,27,199,0.424,0.368,0.792,0.277,0.316,221.09295263936852,769,439,0.368
GSV,2024,350,1141,974,232,115,25,45,3,19,340,19,9,121,218,126,6,26,165,0.349,0.334,0.683,0.238,0.286,178.4566650222003,751,371,0.324
HER,2024,339,1139,991,231,101,21,44,4,17,334,8,3,108,200,116,7,22,166,0.337,0.318,0.655,0.233,0.275,169.6524321657622,763,348,0.307
JAL,2024,325,1158,1026,269,138,49,50,8,29,422,8,12,151,224,102,2,19,182,0.411,0.33,0.741,0.262,0.306,199.5444301924026,769,377,0.346
MAZ,2024,338,1159,1007,260,108,19,44,3,7,331,19,17,120,217,97,3,29,206,0.329,0.33,0.659,0.258,0.316,171.65948692649238,764,373,0.311
MOC,2024,330,1218,1041,257,135,16,39,2,23,369,21,13,144,229,128,5,26,193,0.354,0.337,0.6910000000000001,0.247,0.292,192.61119141588551,797,401,0.328
MTY,2024,335,1132,989,225,89,20,42,5,11,310,19,9,98,241,102,5,33,167,0.313,0.309,0.622,0.228,0.287,161.2043734583128,773,341,0.297
MXC,2024,322,1100,961,211,101,19,34,8,15,306,15,10,105,235,106,4,16,154,0.318,0.304,0.622,0.22,0.272,158.24237543167243,760,328,0.298
NAV,2024,349,1173,1015,247,110,38,34,2,16,333,20,9,121,248,109,4,18,195,0.328,0.326,0.654,0.243,0.304,174.37389985199803,777,372,0.311
OBR,2024,333,1111,950,217,103,27,33,1,15,297,26,10,107,182,112,3,31,168,0.313,0.323,0.636,0.228,0.265,162.19078441045878,743,352,0.307
