team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP
CUL,2024,400,3678,1631,150,53,662,202,82,36,89,48,2,25,13,156,937,109,796,226,16.6,11.6,0.026680896478121666,0.6987179487179487,10.9,24.5,30.7,42.9,18.9,7.6,0.05016008537886872,12.3,0.32
GSV,2024,341,3462,1539,107,41,607,202,55,45,86,68,3,13,6,162,879,98,753,185,18.4,11.1,0.01478953356086462,0.6049382716049383,9.8,22.2,24.4,42.3,21.6,11.7,0.07281001137656427,8.8,0.295
HER,2024,302,3206,1425,147,36,624,225,49,26,81,59,1,12,1,149,866,90,753,167,17.2,10.4,0.013856812933025405,0.6040268456375839,9.4,21.2,29.3,43.9,17.1,9.6,0.06812933025404155,6.6,0.261
JAL,2024,399,3496,1665,115,66,643,199,79,31,67,86,0,24,8,183,912,79,809,212,20.1,8.7,0.02631578947368421,0.43169398907103823,11.4,24.0,28.1,43.2,15.2,13.4,0.11403508771929825,13.3,0.308
MAZ,2024,342,3353,1535,109,34,632,245,88,30,69,57,0,5,13,167,891,79,770,191,18.7,8.9,0.005611672278338945,0.47305389221556887,10.2,22.3,22.6,52.7,15.7,9.0,0.09876543209876544,3.5,0.304
MOC,2024,417,3647,1648,136,41,664,228,87,42,86,44,0,20,10,166,949,102,812,214,17.5,10.7,0.02107481559536354,0.6144578313253012,11.4,25.3,26.7,47.4,19.3,6.6,0.06743940990516333,11.3,0.305
MTY,2024,368,3420,1575,108,17,576,217,67,38,73,56,0,9,7,190,859,78,752,157,22.1,9.1,0.010477299185098952,0.4105263157894737,10.8,23.4,21.7,49.3,19.3,9.7,0.13038416763678695,7.2,0.264
MXC,2024,439,3280,1546,112,30,557,197,50,27,81,58,2,12,8,193,832,74,735,163,23.2,8.9,0.014423076923076924,0.38341968911917096,13.4,28.4,25.5,44.3,19.4,10.8,0.14302884615384615,8.5,0.281
NAV,2024,439,3286,1587,135,24,606,194,73,29,81,68,2,9,7,188,882,72,771,180,21.3,8.2,0.01020408163265306,0.3829787234042553,13.4,27.7,26.2,44.1,18.2,11.6,0.13151927437641725,5.7,0.294
OBR,2024,299,3383,1466,130,27,613,223,59,38,81,53,2,10,10,144,867,89,739,169,16.6,10.3,0.011534025374855825,0.6180555555555556,8.8,20.4,25.6,46.0,19.4,9.0,0.06343713956170703,6.4,0.267
