team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP
CUL,2024,323,1106,937,263,139,38,50,0,31,406,12,15,155,191,133,5,24,182,0.433,0.372,0.8049999999999999,0.281,0.318
GSV,2024,313,1024,879,212,102,22,42,3,17,311,14,8,106,194,111,6,25,150,0.354,0.333,0.687,0.241,0.288
HER,2024,302,1015,882,199,84,19,39,2,12,278,5,2,90,170,105,6,20,146,0.315,0.311,0.626,0.226,0.266
JAL,2024,295,1065,943,250,127,45,47,8,27,394,8,11,138,212,93,2,18,168,0.418,0.333,0.751,0.265,0.312
MAZ,2024,303,1052,914,235,97,19,37,1,7,295,16,14,108,195,89,3,26,190,0.323,0.329,0.652,0.257,0.314
MOC,2024,299,1098,940,238,126,14,37,2,20,339,20,11,135,199,115,5,22,179,0.361,0.343,0.704,0.253,0.298
MTY,2024,303,1012,885,193,77,20,36,4,10,267,17,8,84,219,92,4,32,143,0.302,0.301,0.603,0.218,0.276
MXC,2024,286,994,864,193,97,18,32,8,14,283,15,10,101,222,98,4,16,139,0.328,0.31,0.638,0.223,0.281
NAV,2024,313,1031,901,212,90,34,31,1,14,287,17,8,98,218,89,3,16,166,0.319,0.313,0.632,0.235,0.292
OBR,2024,303,1016,866,197,97,26,30,0,12,263,24,10,101,166,105,3,29,155,0.304,0.324,0.628,0.227,0.265
